id,Rating,Comment,PercentCanceledTrips
500,71.4,Ameliorated real-time support,51.3
501,32.1,Grass-roots bottom-line access,90.8
502,31.2,Focused solution-oriented service-desk,24.7
503,65.8,Persistent 3rd generation architecture,26.1
504,4.2,Reverse-engineered zero administration interface,76.6
505,28.4,Digitized upward-trending moderator,79.5
506,67.9,Profound needs-based archive,17.7
507,70.1,Organized mission-critical alliance,9.5
508,34.7,Intuitive fault-tolerant function,79.8
509,65.2,Enhanced maximized matrix,35.5
510,46.0,Synchronised didactic matrix,34.7
511,11.8,Multi-tiered zero administration strategy,73.7
512,27.4,User-centric real-time orchestration,72.6
513,52.1,Realigned zero administration infrastructure,56.8
514,82.0,Advanced needs-based matrix,36.0
515,21.3,Upgradable mobile attitude,79.7
516,26.3,Synergized background pricing structure,13.4
517,20.0,Fundamental grid-enabled system engine,50.7
518,60.2,Managed mission-critical structure,27.8
519,49.6,Fundamental methodical neural-net,1.9
520,32.0,Multi-lateral maximized knowledge user,64.2
521,25.0,Decentralized clear-thinking complexity,39.2
522,50.3,Business-focused dedicated focus group,61.7
523,2.0,Assimilated client-server function,59.9
524,41.5,De-engineered optimizing functionalities,88.9
525,48.1,Profound encompassing methodology,74.4
526,62.3,Cross-group exuding project,68.3
527,65.4,Open-architected scalable initiative,24.0
528,51.4,User-centric empowering access,84.1
529,57.3,Organic motivating orchestration,12.7
530,11.8,Streamlined 24 hour implementation,80.4
531,70.3,Total needs-based challenge,55.5
532,8.8,Fundamental real-time encoding,73.9
533,22.7,Synchronised hybrid benchmark,72.8
534,71.6,Future-proofed attitude-oriented firmware,41.9
535,83.9,Self-enabling 24/7 database,18.1
536,74.5,De-engineered static interface,47.0
537,10.1,Function-based discrete info-mediaries,64.8
538,85.2,Enterprise-wide empowering orchestration,39.9
539,82.6,Operative uniform protocol,76.8
540,47.3,Realigned multimedia capability,25.2
541,82.9,Public-key impactful parallelism,75.0
542,75.0,Profound clear-thinking throughput,9.9
543,5.2,Profound tangible challenge,91.3
544,26.9,Virtual 4th generation core,17.3
545,86.7,Face to face incremental ability,68.9
546,49.2,Robust global infrastructure,41.5
547,81.1,Exclusive actuating time-frame,4.4
548,40.1,Sharable zero defect analyzer,49.5
549,20.2,Future-proofed background process improvement,91.8
550,84.0,Intuitive methodical matrices,65.8
551,20.4,Monitored foreground matrices,12.3
552,88.7,Focused cohesive support,21.7
553,35.3,Visionary grid-enabled help-desk,85.1
554,41.3,Up-sized client-server portal,90.3
555,55.2,Open-source contextually-based service-desk,52.0
556,83.4,Re-contextualized tertiary system engine,88.1
557,55.9,Grass-roots dedicated installation,21.8
558,4.3,Multi-layered system-worthy capability,4.8
559,58.4,Assimilated global budgetary management,97.5
560,82.1,Extended reciprocal matrices,62.5
561,55.9,Face to face logistical policy,78.0
562,49.5,Optimized zero defect budgetary management,57.9
563,41.5,Profit-focused clear-thinking core,8.6
564,45.9,Synchronised incremental matrix,85.1
565,62.0,Streamlined empowering groupware,12.4
566,5.8,Adaptive bifurcated project,14.8
567,27.9,Re-contextualized human-resource process improvement,39.0
568,8.7,Secured 24/7 local area network,20.5
569,3.9,User-centric holistic open architecture,18.2
570,4.1,Public-key dedicated website,85.9
571,76.4,Inverse mobile Graphic Interface,43.1
572,29.2,Expanded responsive local area network,41.1
573,87.7,Multi-channelled systematic ability,62.6
574,5.5,Right-sized bottom-line superstructure,53.5
575,1.0,Reactive coherent info-mediaries,85.2
576,52.4,Reverse-engineered solution-oriented internet solution,30.0
577,2.8,Pre-emptive system-worthy success,47.3
578,11.7,Vision-oriented background success,66.1
579,60.5,Triple-buffered cohesive infrastructure,94.8
580,46.0,User-centric stable circuit,51.8
581,14.0,Exclusive responsive Graphic Interface,19.6
582,4.4,Enterprise-wide system-worthy complexity,2.9
583,71.8,Multi-channelled fault-tolerant access,34.7
584,41.5,Total tangible Graphic Interface,16.1
585,82.5,Profit-focused discrete protocol,81.6
586,86.6,Balanced multi-tasking task-force,36.3
587,3.6,Reverse-engineered executive protocol,15.2
588,48.3,Versatile real-time secured line,25.2
589,7.2,User-friendly didactic moderator,69.5
590,31.1,User-friendly solution-oriented analyzer,23.5
591,79.4,Virtual asynchronous website,41.1
592,78.3,Devolved full-range approach,62.2
593,9.3,Reduced encompassing knowledge base,90.6
594,14.6,Synergistic 3rd generation parallelism,58.9
595,53.6,Balanced incremental local area network,6.0
596,64.2,Front-line mobile interface,30.2
597,95.5,Integrated local instruction set,95.2
598,50.9,Operative leading edge extranet,86.1
599,94.1,Digitized full-range methodology,61.1
600,81.9,De-engineered optimizing core,82.6
601,37.3,Pre-emptive system-worthy extranet,89.4
602,88.5,Robust zero administration internet solution,20.3
603,52.3,Re-contextualized intangible definition,54.2
604,80.8,Public-key secondary attitude,86.7
605,54.6,Mandatory bandwidth-monitored productivity,48.4
606,12.8,Team-oriented analyzing standardization,15.0
607,2.3,Team-oriented national hierarchy,29.2
608,20.7,Intuitive foreground methodology,59.8
609,4.6,Reactive exuding extranet,84.4
610,29.5,Optional client-driven task-force,56.5
611,98.9,Re-engineered heuristic service-desk,62.5
612,79.2,Reactive mission-critical synergy,94.6
613,33.1,Organic even-keeled product,66.9
614,50.4,Secured value-added contingency,59.8
615,3.3,Versatile incremental matrices,55.0
616,67.8,Implemented encompassing access,96.3
617,41.0,Enterprise-wide local portal,53.8
618,52.5,Cloned exuding matrix,77.7
619,23.0,Business-focused fault-tolerant complexity,26.8
620,43.0,Persistent object-oriented solution,93.4
621,89.6,Enterprise-wide real-time knowledge user,66.2
622,79.1,Switchable maximized application,49.5
623,38.7,Up-sized tertiary utilisation,41.3
624,38.2,Adaptive cohesive productivity,98.7
625,88.4,Versatile logistical interface,69.8
626,25.4,Multi-lateral attitude-oriented Graphical User Interface,90.1
627,2.3,Secured maximized collaboration,6.1
628,52.7,Grass-roots eco-centric system engine,89.2
629,93.3,Multi-channelled web-enabled initiative,60.8
630,95.6,Compatible explicit model,1.7
631,51.4,Team-oriented solution-oriented contingency,88.8
632,88.3,Devolved actuating internet solution,56.0
633,70.4,Future-proofed full-range collaboration,61.1
634,2.3,Networked logistical synergy,43.1
635,49.8,Synergized analyzing analyzer,17.5
636,51.8,Synchronised radical moratorium,13.0
637,77.2,Decentralized neutral capacity,60.0
638,98.4,Cloned modular framework,28.1
639,18.2,Up-sized empowering process improvement,6.0
640,44.3,Triple-buffered leading edge functionalities,67.0
641,19.5,Persevering composite strategy,51.2
642,63.7,User-centric background success,4.9
643,11.4,Networked object-oriented orchestration,9.6
644,35.7,Persevering attitude-oriented capacity,94.5
645,48.7,Programmable multi-state middleware,60.8
646,2.0,Quality-focused encompassing capacity,58.2
647,16.5,Polarised multi-state groupware,44.8
648,9.0,Digitized actuating array,12.2
649,41.0,Automated stable challenge,38.2
650,46.1,Enhanced discrete open system,32.4
651,10.3,Streamlined even-keeled internet solution,63.4
652,6.5,Up-sized bottom-line system engine,76.9
653,39.3,Self-enabling value-added budgetary management,78.8
654,70.1,Re-contextualized clear-thinking complexity,8.2
655,7.0,Automated full-range middleware,17.5
656,29.1,Diverse reciprocal solution,83.5
657,36.5,Vision-oriented optimal info-mediaries,1.2
658,87.0,Future-proofed background internet solution,70.2
659,54.3,Object-based eco-centric hub,26.7
660,64.3,Advanced bottom-line productivity,28.7
661,68.2,Synergistic demand-driven matrix,14.3
662,45.2,Streamlined analyzing alliance,86.3
663,6.2,Right-sized uniform approach,46.0
664,48.2,Right-sized dynamic emulation,28.2
665,22.3,Grass-roots intangible orchestration,48.2
666,57.8,User-friendly human-resource Graphical User Interface,1.8
667,68.8,Multi-layered system-worthy approach,1.9
668,58.5,Persistent non-volatile emulation,25.3
669,43.9,Quality-focused demand-driven hub,37.7
670,13.0,Monitored leading edge neural-net,63.4
671,89.3,Ergonomic multi-state ability,50.6
672,78.8,Team-oriented systemic toolset,21.5
673,19.9,Optional neutral website,9.2
674,47.6,Seamless systematic service-desk,77.0
675,71.6,Fundamental empowering firmware,63.3
676,20.6,Seamless responsive throughput,10.8
677,27.1,Streamlined transitional Graphical User Interface,69.4
678,98.8,Fully-configurable content-based orchestration,32.9
679,70.0,Enterprise-wide tertiary local area network,10.1
680,60.4,Implemented eco-centric customer loyalty,60.3
681,30.3,User-friendly value-added superstructure,19.1
682,35.6,Devolved high-level paradigm,18.6
683,27.5,Robust dedicated application,19.3
684,65.0,De-engineered homogeneous product,26.4
685,69.9,User-centric hybrid initiative,25.3
686,63.7,Mandatory upward-trending concept,33.3
687,49.0,Devolved multi-state forecast,89.7
688,70.9,Re-engineered static parallelism,14.5
689,69.6,Customer-focused full-range definition,5.0
690,21.5,Realigned mission-critical architecture,47.1
691,89.1,Profound analyzing definition,51.8
692,77.2,Fully-configurable zero defect migration,66.3
693,95.5,Organic leading edge customer loyalty,70.2
694,58.4,Fully-configurable stable system engine,72.4
695,63.2,Optional bi-directional productivity,15.5
696,60.8,Synergized neutral ability,80.0
697,13.9,Synchronised maximized service-desk,56.9
698,89.5,Persistent mobile capability,7.4
699,4.1,Automated dedicated help-desk,20.1
700,16.3,Proactive object-oriented toolset,9.8
701,79.1,Right-sized intermediate adapter,50.6
702,7.2,Operative executive product,6.5
703,61.8,Stand-alone analyzing capacity,78.3
704,28.0,Multi-lateral static hierarchy,50.9
705,50.6,Operative multimedia strategy,89.3
706,33.5,Cross-platform 24/7 functionalities,61.3
707,73.8,Innovative coherent access,96.5
708,27.5,Decentralized bi-directional moratorium,69.8
709,21.7,Distributed modular monitoring,44.7
710,64.9,Open-source fault-tolerant matrices,79.3
711,50.6,Managed scalable application,37.9
712,83.2,Balanced coherent budgetary management,90.4
713,54.7,Ameliorated 24 hour knowledge base,34.9
714,33.9,Fully-configurable high-level approach,6.2
715,62.8,Up-sized intermediate emulation,36.6
716,12.4,Re-contextualized bandwidth-monitored matrix,19.6
717,54.7,User-friendly disintermediate synergy,1.7
718,7.0,Diverse next generation infrastructure,98.4
719,89.2,Focused bottom-line algorithm,89.5
720,90.3,Distributed object-oriented emulation,27.0
721,45.2,Virtual directional workforce,14.7
722,55.2,Enhanced bottom-line task-force,78.5
723,46.9,Reduced logistical benchmark,64.8
724,54.2,Cross-group web-enabled definition,25.3
725,92.9,Customer-focused intangible project,95.9
726,91.4,Persevering bandwidth-monitored installation,83.0
727,30.8,Upgradable non-volatile capability,52.4
728,36.8,Synergized multi-tasking architecture,97.1
729,71.6,Automated client-server alliance,28.7
730,79.7,Cloned reciprocal throughput,69.3
731,45.0,De-engineered exuding algorithm,77.3
732,59.7,Seamless uniform pricing structure,37.2
733,30.3,Seamless 3rd generation knowledge base,38.2
734,81.8,Reactive tertiary knowledge base,34.1
735,33.5,Robust cohesive service-desk,12.5
736,33.5,Diverse high-level internet solution,61.0
737,64.6,Re-engineered content-based strategy,92.4
738,9.3,Public-key national info-mediaries,27.0
739,9.0,Open-architected asynchronous definition,76.7
740,34.3,Secured zero tolerance array,9.8
741,10.9,Innovative 24 hour architecture,57.3
742,92.7,Programmable regional functionalities,51.7
743,22.1,Devolved empowering circuit,60.3
744,24.7,Universal bi-directional superstructure,38.4
745,10.1,Total full-range flexibility,77.6
746,96.8,Open-source foreground archive,75.9
747,37.1,Down-sized exuding Graphic Interface,29.0
748,23.1,Diverse asynchronous adapter,67.1
749,47.0,Pre-emptive eco-centric system engine,91.5
750,90.1,Triple-buffered 24/7 firmware,28.7
751,21.3,Object-based 24 hour architecture,35.7
752,36.0,Persistent discrete database,82.8
753,72.3,Innovative maximized concept,24.2
754,93.2,Balanced needs-based model,32.7
755,35.7,Phased intangible function,47.3
756,1.9,Progressive exuding contingency,4.4
757,57.9,Enterprise-wide fault-tolerant hierarchy,20.0
758,12.9,Profit-focused encompassing middleware,75.2
759,19.3,Universal composite parallelism,17.8
760,13.6,Centralized content-based model,81.5
761,32.5,Compatible 5th generation array,58.5
762,42.8,Cross-group contextually-based software,52.4
763,46.4,Enhanced 4th generation neural-net,50.7
764,36.9,Triple-buffered fresh-thinking software,11.8
765,28.8,Ameliorated exuding productivity,72.6
766,38.8,Horizontal exuding approach,6.7
767,78.5,Business-focused regional matrix,10.6
768,63.7,Cross-platform leading edge model,99.0
769,86.3,Versatile multi-tasking toolset,21.6
770,92.1,Team-oriented foreground throughput,69.1
771,29.1,Public-key 5th generation website,93.7
772,56.0,Upgradable multimedia throughput,41.9
773,39.8,Front-line zero tolerance throughput,85.1
774,44.3,Adaptive systemic policy,70.6
775,88.6,Optional asynchronous productivity,73.3
776,64.0,Automated foreground collaboration,10.3
777,38.8,Ergonomic value-added installation,55.6
778,78.6,Advanced interactive archive,80.5
779,61.6,Re-engineered actuating benchmark,8.3
780,83.2,Seamless incremental challenge,47.1
781,38.7,Organized bi-directional attitude,72.3
782,47.3,Realigned incremental system engine,76.8
783,18.7,Profit-focused coherent extranet,50.1
784,48.0,Phased holistic core,17.8
785,3.2,Open-architected analyzing paradigm,39.6
786,44.3,Ameliorated fault-tolerant encoding,5.4
787,18.8,Expanded local task-force,81.7
788,78.1,Innovative multi-tasking knowledge user,69.9
789,13.6,Extended 4th generation attitude,47.1
790,64.1,Quality-focused modular framework,73.9
791,40.0,User-friendly reciprocal ability,5.3
792,28.8,Ergonomic next generation Graphic Interface,39.7
793,91.9,Operative optimizing instruction set,67.5
794,49.1,Advanced actuating extranet,76.8
795,69.9,Extended dedicated functionalities,21.7
796,40.2,Ergonomic impactful core,33.9
797,42.5,Integrated user-facing help-desk,49.7
798,42.3,Devolved clear-thinking artificial intelligence,23.4
799,3.4,Networked contextually-based portal,88.8
800,81.7,Realigned disintermediate alliance,15.4
801,17.6,Front-line tangible hardware,44.9
802,93.1,Organic real-time portal,89.7
803,68.0,Seamless next generation knowledge user,14.9
804,41.0,Exclusive mission-critical data-warehouse,87.7
805,26.5,Public-key homogeneous capacity,32.1
806,90.8,Down-sized upward-trending capacity,29.4
807,2.6,Open-architected modular success,56.7
808,29.0,Reduced secondary alliance,11.5
809,71.4,Persistent heuristic pricing structure,59.2
810,96.6,Public-key zero administration infrastructure,17.5
811,42.4,Focused bandwidth-monitored time-frame,72.0
812,55.4,Fundamental upward-trending knowledge base,6.7
813,78.0,Sharable global firmware,41.5
814,27.1,Visionary eco-centric initiative,89.2
815,96.4,Face to face client-server projection,78.7
816,48.4,Phased intangible solution,10.0
817,23.1,Implemented analyzing structure,72.7
818,3.3,Adaptive grid-enabled methodology,75.6
819,77.6,Object-based fresh-thinking ability,15.4
820,64.0,Realigned user-facing application,96.9
821,59.9,Distributed systematic access,27.9
822,95.3,Configurable local artificial intelligence,49.6
823,12.8,Extended static conglomeration,93.0
824,88.6,Profound leading edge infrastructure,21.2
825,91.5,Digitized static ability,92.7
826,88.1,Triple-buffered asymmetric solution,10.9
827,78.0,Quality-focused actuating utilisation,57.7
828,37.6,Face to face asymmetric support,92.0
829,36.0,Centralized fresh-thinking portal,59.6
830,46.9,Focused actuating matrices,33.6
831,51.2,Re-engineered multi-tasking portal,18.7
832,98.0,Team-oriented intangible projection,50.1
833,30.1,Programmable tangible projection,66.8
834,92.0,Grass-roots encompassing Graphic Interface,37.1
835,34.5,Multi-lateral interactive circuit,47.2
836,7.8,User-friendly background task-force,16.0
837,44.7,Automated zero defect moderator,17.2
838,98.5,Digitized exuding time-frame,35.5
839,55.9,Reduced secondary Graphic Interface,70.6
840,18.4,Cross-group background monitoring,47.6
841,75.4,Switchable bifurcated website,55.3
842,53.3,Networked background process improvement,81.5
843,27.2,Realigned hybrid collaboration,65.4
844,76.1,Versatile client-driven database,69.4
845,87.7,Extended system-worthy firmware,6.5
846,91.8,Fundamental secondary time-frame,74.3
847,51.3,Centralized next generation task-force,38.8
848,71.9,Secured holistic Graphical User Interface,11.6
849,47.5,Phased mobile methodology,36.9
850,28.8,Adaptive secondary standardization,6.7
851,64.8,Team-oriented attitude-oriented artificial intelligence,71.1
852,39.5,Operative tangible synergy,98.3
853,69.4,Distributed 6th generation installation,79.8
854,60.3,Diverse empowering superstructure,17.9
855,18.2,Open-architected reciprocal matrices,43.7
856,70.5,Reduced scalable capacity,73.7
857,21.9,Implemented reciprocal moderator,70.9
858,98.3,Multi-channelled optimal encryption,37.6
859,48.5,Compatible interactive strategy,62.7
860,49.6,Digitized exuding framework,6.0
861,94.3,Profound human-resource definition,44.8
862,94.1,Total zero defect internet solution,79.8
863,85.4,Right-sized contextually-based monitoring,18.8
864,20.6,Proactive encompassing time-frame,85.7
865,9.2,Function-based heuristic Graphic Interface,74.8
866,22.2,Customer-focused mobile task-force,19.2
867,68.4,Cloned incremental artificial intelligence,95.9
868,22.0,Inverse tertiary artificial intelligence,51.3
869,57.0,Optional attitude-oriented customer loyalty,86.7
870,27.4,Cross-platform executive function,87.2
871,68.2,Self-enabling needs-based definition,37.7
872,33.4,Automated fresh-thinking Graphical User Interface,36.6
873,47.2,Horizontal web-enabled forecast,5.0
874,23.5,Realigned needs-based application,66.3
875,32.1,Streamlined intangible orchestration,42.8
876,66.7,Distributed user-facing alliance,74.0
877,68.5,Business-focused disintermediate hierarchy,87.6
878,76.4,Multi-channelled zero administration orchestration,75.9
879,92.7,Reactive solution-oriented forecast,54.9
880,65.6,Progressive scalable forecast,45.8
881,3.6,Business-focused asymmetric secured line,97.0
882,61.8,Networked zero administration secured line,62.1
883,24.5,Intuitive 3rd generation functionalities,5.2
884,95.5,Polarised multi-state application,67.3
885,19.6,Polarised 4th generation emulation,67.6
886,55.3,Open-architected bi-directional encoding,46.6
887,60.3,Devolved non-volatile help-desk,40.6
888,68.2,Distributed multi-tasking open system,24.5
889,6.7,Digitized neutral leverage,92.1
890,13.8,Customer-focused client-server instruction set,33.1
891,92.7,Enterprise-wide bi-directional initiative,97.8
892,47.2,Distributed 24/7 definition,62.8
893,21.2,Balanced 5th generation parallelism,40.5
894,64.7,Robust high-level hub,7.6
895,34.0,Object-based heuristic open system,18.7
896,5.8,Decentralized client-driven support,24.3
897,81.9,Adaptive transitional alliance,1.2
898,10.2,Digitized intermediate interface,79.6
899,55.5,Adaptive user-facing access,52.0
900,13.4,Streamlined system-worthy open system,56.2
901,39.2,User-friendly content-based model,36.9
902,47.9,Digitized fresh-thinking success,97.0
903,66.0,Reverse-engineered content-based help-desk,2.5
904,1.2,Open-source discrete knowledge user,57.7
905,78.0,Extended attitude-oriented alliance,58.5
906,81.2,Up-sized intermediate algorithm,90.7
907,55.0,Multi-tiered full-range workforce,52.0
908,67.2,Quality-focused static productivity,74.0
909,72.0,Inverse well-modulated conglomeration,3.8
910,15.0,Switchable well-modulated hierarchy,72.4
911,55.8,Re-contextualized cohesive throughput,87.0
912,17.9,Cross-group empowering access,53.8
913,55.0,Business-focused mission-critical middleware,45.6
914,12.2,Customer-focused empowering workforce,17.5
915,39.1,Centralized 6th generation time-frame,67.6
916,90.9,Organic user-facing knowledge user,48.6
917,8.4,Right-sized regional challenge,69.9
918,31.3,Multi-layered didactic project,83.4
919,51.6,Profit-focused holistic encoding,86.6
920,24.4,Monitored neutral middleware,43.2
921,42.0,Reactive tertiary local area network,37.0
922,22.4,Organized systematic budgetary management,78.8
923,24.1,Progressive well-modulated model,67.4
924,35.1,Visionary needs-based matrices,54.5
925,3.3,Synergized demand-driven website,88.6
926,58.5,Upgradable interactive standardization,77.7
927,32.0,Multi-tiered empowering Graphical User Interface,16.0
928,47.5,Persevering optimizing info-mediaries,47.3
929,81.5,Intuitive mission-critical core,84.1
930,32.7,Multi-layered didactic model,49.3
931,10.9,Horizontal 24/7 archive,76.1
932,33.9,Innovative optimizing hardware,53.8
933,4.3,Extended fresh-thinking toolset,63.8
934,54.5,Multi-layered multi-state installation,79.8
935,69.8,Total heuristic middleware,12.0
936,9.0,Synergistic zero administration open system,20.1
937,96.2,Balanced bandwidth-monitored leverage,57.5
938,86.5,Centralized exuding software,72.3
939,80.7,Monitored stable data-warehouse,2.3
940,15.4,Multi-channelled leading edge project,92.5
941,2.7,Seamless asymmetric standardization,41.0
942,20.2,Multi-tiered regional policy,42.4
943,72.2,Proactive optimizing circuit,53.7
944,5.3,Seamless motivating system engine,89.3
945,23.9,Fundamental contextually-based throughput,46.3
946,8.6,Phased maximized protocol,63.4
947,49.2,Upgradable 24 hour budgetary management,36.8
948,23.6,Profound impactful throughput,16.7
949,82.7,Assimilated mobile core,67.7
950,4.6,Progressive 6th generation encoding,5.6
951,82.0,Vision-oriented client-server firmware,78.1
952,51.3,Synergistic clear-thinking superstructure,72.9
953,26.5,Balanced coherent time-frame,29.3
954,87.0,Advanced non-volatile interface,48.1
955,67.4,Innovative motivating encryption,3.3
956,34.4,Down-sized bottom-line hierarchy,83.2
957,1.9,Synergistic 4th generation alliance,78.6
958,52.0,Realigned actuating concept,55.7
959,94.7,Innovative stable interface,23.4
960,8.2,Configurable logistical service-desk,90.0
961,61.9,Programmable multi-tasking support,59.8
962,2.8,Ergonomic high-level firmware,23.4
963,29.2,Object-based background benchmark,97.6
964,42.6,Optional 5th generation array,28.1
965,88.9,Advanced reciprocal flexibility,66.4
966,96.2,Quality-focused uniform extranet,83.5
967,79.3,Optional context-sensitive solution,65.0
968,12.7,Stand-alone encompassing adapter,40.9
969,83.9,Secured empowering support,89.2
970,83.4,Multi-channelled 6th generation internet solution,18.8
971,7.5,Fundamental bi-directional product,15.0
972,17.8,Balanced directional open architecture,89.0
973,9.2,Synergized global open system,5.5
974,18.6,Optimized hybrid support,62.1
975,61.4,Exclusive cohesive open system,24.8
976,6.0,Self-enabling bi-directional emulation,43.2
977,60.6,Visionary systemic migration,58.0
978,39.2,Public-key web-enabled paradigm,91.4
979,58.4,Multi-lateral background knowledge base,54.1
980,10.3,Optimized incremental database,4.8
981,30.5,Organic dynamic local area network,34.3
982,93.5,Managed fault-tolerant algorithm,58.5
983,52.9,Persistent scalable firmware,78.9
984,94.7,Reactive disintermediate concept,67.2
985,67.4,Centralized motivating model,82.2
986,72.4,Phased cohesive paradigm,26.5
987,83.0,Monitored bottom-line system engine,53.4
988,21.9,Diverse empowering pricing structure,43.9
989,6.2,Devolved national project,25.6
990,29.9,Cloned context-sensitive parallelism,71.1
991,60.7,Pre-emptive homogeneous framework,98.1
992,55.8,Public-key attitude-oriented adapter,26.0
993,69.1,Switchable local definition,74.7
994,79.9,Focused zero defect Graphical User Interface,29.9
995,89.2,Total motivating conglomeration,67.5
996,39.2,Total mobile architecture,16.4
997,27.8,Robust tangible definition,71.6
998,83.2,Sharable impactful architecture,18.8
999,6.9,Reverse-engineered zero administration conglomeration,86.1
1000,9.5,Customizable multi-state interface,44.8
